ISO_alpha3_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
CRI,46.53349001,46.98394046,47.43439091,47.88484136,48.33529181,48.78574226,49.23227671,49.67881116,50.12534082,50.57187527,51.01840971,51.60986978,52.20132985,52.79279471,53.38425478,53.97571485,54.56717492
CUB,22.67225326,23.16014807,23.87254487,24.3627815,24.85292827,25.33821871,25.78220427,26.22134536,26.66290868,27.104472,27.54603533,27.93857698,28.55075989,29.67568652,30.24802829,30.76331475,31.27860121
CUW,,,,,,,,,,,,,,,,,
CYM,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587,52.91666587
CYP,18.57251089,18.59956717,18.62662344,18.65259806,18.67965434,18.70671062,18.70671062,18.70671062,18.70671062,18.70562731,18.70562731,18.70238069,18.69913407,18.6969691,18.69372248,18.69047586,18.68722924
CZE,34.12708684,34.1529701,34.17885337,34.20473664,34.23505048,34.2609371,34.29126214,34.3171521,34.34304207,34.36893204,34.39927499,34.42516831,34.45552247,34.48588449,34.51178451,34.54215775,34.56358456
DEU,32.53761284,32.55947263,32.58040475,32.60227631,32.62321874,32.64135795,32.65944024,32.67846388,32.69655509,32.71277359,32.73087185,32.73754877,32.74516555,32.71898647,32.72284322,32.73242345,32.69120678
DJI,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571,0.241587571
DMA,63.10666911,62.7466685,62.38666789,62.03999837,61.67999776,61.32000224,60.96000163,60.61333211,60.2533315,59.90666707,59.54666646,59.18666585,58.84000142,58.48000081,58.1333313,57.77333577,57.41333516
DNK,13.79919868,13.66815938,13.53712008,13.40608078,13.27504147,13.14400217,13.28258348,13.42116479,13.5597461,13.69832597,13.83690727,13.95522025,14.22100535,14.34055664,14.46010938,14.57966211,14.6992134
DOM,30.75967709,31.44690439,32.13413423,32.82136153,33.50859136,34.19581867,34.87890706,35.56199545,36.24508383,36.92817222,37.61126061,38.29848791,38.98571775,39.67294505,40.36017489,41.04740219,41.7346295
DZA,0.662960693,0.659349897,0.655739102,0.652128255,0.64851746,0.644906665,0.676984064,0.709061463,0.741138811,0.77321621,0.805293609,0.808484543,0.811675477,0.814866463,0.818057397,0.821248331,0.824439265
ECU,55.27830537,54.96126465,54.64422785,54.32722645,54.01018572,53.69318825,53.37614753,53.0591068,52.74210933,52.42506861,52.1080672,51.79103041,51.47398968,51.15698828,50.83995149,50.52295008,50.20595261
EGY,0.059269677,0.060876989,0.062484304,0.064091616,0.065698932,0.067306243,0.067908984,0.068511725,0.069114474,0.069717215,0.070319956,0.070922697,0.071525438,0.072128186,0.072730927,0.073333668,0.073936409
ERI,15.6039604,15.5603958,15.5168312,15.47326781,15.42970321,15.38613861,15.34257402,15.29900942,15.25544603,15.21188143,15.16831683,15.12475223,15.08118764,15.03762425,14.99405965,14.95049505,14.90693045
ESP,34.02192275,34.17710564,34.26378647,34.3743701,34.49869896,34.62720119,35.02166294,35.39927242,35.80826014,36.20538982,36.49366856,36.5714373,36.61556287,36.68379203,36.75204461,36.8607287,36.93620953
EST,52.91342298,52.95588697,52.99835097,53.04080921,53.08327321,53.1257372,53.04080921,52.95588697,52.87095898,52.78603675,52.70110875,52.69167487,52.68223522,51.36416031,51.3549552,51.34575569,51.33655619
ETH,13.705,13.564,13.423,13.282,13.141,13,12.8592002,12.71840039,12.57759961,12.4367998,12.296,12.33659961,12.3772002,12.4177998,12.45840039,12.499,12.53959961
FIN,73.68922158,73.49092094,73.29262031,73.09432608,72.89602545,72.69772481,72.86179343,72.91591305,73.01085884,73.06021718,73.10957552,73.11198131,73.11198131,73.11198131,73.11198131,73.10716989,73.10716989
FJI,53.66393007,53.84783732,54.03229244,54.21620303,54.40065815,54.58456539,54.53694661,54.48877995,54.44116117,54.39354239,54.34592361,54.61193266,54.87794171,55.14395076,55.40996316,55.67597221,55.94198126
FRA,27.92169765,28.13062257,28.33954571,28.53283811,28.75739377,28.9668477,29.17248768,29.37812945,29.58376943,29.78941119,29.99505117,30.20142238,30.4077936,30.61416481,30.82053602,31.02690723,31.23327844
FRO,0.057306586,0.057306586,0.057306586,0.057306586,0.057306586,0.057306586,0.057306586,0.057306586,0.057306586,0.057306586,0.057306586,0.057306586,0.057306586,0.057306586,0.057306586,0.057306586,0.057306586
FSM,91.2285723,91.25714438,91.29999978,91.34285518,91.38571603,91.41428811,91.45713806,91.50000436,91.52857099,91.57142639,91.61428179,91.65714809,91.68571472,91.72857012,91.77142552,91.81428092,91.85714722
GAB,85.38052548,85.38052548,85.38052548,85.38052548,85.38052548,85.38052548,85.38052548,85.38052548,85.38052548,85.38052548,85.38052548,86.15671207,86.93289867,87.70908526,88.48527186,89.26145845,90.03764505
GBR,12.21014343,12.26553095,12.32091948,12.37630699,12.43169552,12.48708304,12.51849749,12.54991093,12.58132538,12.61273882,12.64415327,12.71442153,12.78468979,12.85495805,12.92522631,12.99549456,13.06576282
GEO,39.72658077,39.76082862,39.79507997,39.82932782,39.86357918,39.89782703,40.04144453,40.18506204,40.32867954,40.47229705,40.61591455,40.61591455,40.61591455,40.61591455,40.61591455,40.61591455,40.61591455
GHA,39.15355542,39.28012571,39.40669601,39.53327059,39.65984089,39.78641118,39.91122612,40.03603676,40.1608517,40.28566234,40.41047728,40.53529222,40.66010286,40.7849178,40.90972844,41.03454338,41.15935831
GIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN,28.097021,27.95051278,27.80400456,27.65749634,27.51098812,27.3644799,27.21797168,27.07146345,26.92495523,26.77844701,26.63193879,26.48543057,26.33892235,26.19241413,26.04590591,25.89939769,25.75288947
GMB,45.55335968,45.75098814,45.9486166,46.14624506,46.34387352,46.54150198,46.71936638,46.8972338,47.07509821,47.25296563,47.43083004,47.58893341,47.74703678,47.90513713,48.0632405,48.22134387,48.37944724
GNB,75.39118065,75.04978316,74.70839434,74.36699684,74.02560802,73.68421053,73.32859175,72.97297297,72.6173542,72.26173542,71.90611664,71.55049787,71.19487909,70.83926031,70.48364154,70.12802276,69.77240398
