ISO_alpha3_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
LVA,136728,128639,117983,115180,125936,151160,140954,156005,158518,163730.2,165367.8,155875.5,95066.54,116717.2,120252.3,82394.85,115594.1
MAC,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
MAF,,,,,,,,90,90,90,90,90,90,90,90,90,90
MAR,916713.2,1107505,971209.6,931316.6,932998.7,1041467,892911.6,893481.5,1006747,1176094,1144394,965356.4,1167619,1260689,1369137,1371281,1455247
MCO,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1
MDA,1735,1737,2373,3466,5735,6356,6851,7526,7836,8226,8844,9050,9130,9130,11050,11216.05,12061.4
MDG,128947,132864,140538,140937,145519,143944,151227,163521,135750,141819,140524,137613,128062.5,117146,111260,137447.2,168331
MDV,119373,127636,163770,156132,158528,186274,185811,144511,133839,117061,122804,120835,120000,129841,128683,127352,129191
MEX,1403681,1521930,1554807,1470939,1393504,1458215,1522989,1615257,1746285,1776349,1654520,1708789,1724947,1737918,1723597,1691185,1745795
MHL,8261,36581,39859,38885,47887,57583,43974,61230,35103,46316,59751,93272,75387,80624,78743.61,89742.2,64800
MKD,1425,915,911,1026,1172,1114,735,1218,1453,1762,1727,1636,1555,1674,1496,1341,1292
MLI,109900,100500,101008,101008,101008,101008,101000,100640,100821,101355,102083,110217,72216,101558.3,81953,94880,106680
MLT,2820,2137,2201,2025,2006,2142,3268,3951,4093,4509,4752,4046.724,6537,7622,7322,8351,8492.917
MMR,1192112,1309146,1474460,1595870,1986960,2217470,2398440,2512410,2582074,2671896,2813941,2795076,2850599,2849780,2934806,2970100,3090034
MNE,,,,,,,1878.8,1492,2294,2226.2,2085.4,2357.6,2201.6,2391.5,2415.4,2299.8,2524
MNG,425,290,263,382,305,366,326,185,88,90,100,80,61,55,49,63,15
MNP,336,406,296,172,169,214,227,230,184,213,266.58,210.53,248,973,1211,1124,992
MOZ,41530,36556,40432,93543,91954,85778,95080,94151,123047,151500,163419,194352,208978,222822,254344,287720,300771
