ISO_alpha3_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
CUW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
CYM,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP,0.029608809,0.018747242,0.012003708,0.009410328,0.011426124,0.000729538,0.000588198,0.008492901,0.007239288,0.033665508,0.060287006,0.093990683,0.107862786,0.085101375,0.069013992,0.043032139,0.001224784,0.007584285,0.007770791
CZE,0.558476893,0.827203128,0.476180008,0.433155288,0.93547738,0.793923372,0.772595402,0.685815506,1.518381606,0.669057047,0.898794224,1.052515488,0.611882737,0.354899265,0.328140792,0.307669102,0.307014509,0.333680912,0.160623914
DEU,0.100941105,0.143055903,0.111990983,0.103989536,0.147554903,0.148830806,0.173206514,0.178776778,0.30449421,0.161809358,0.190222402,0.229403166,0.16741612,0.124364334,0.099093477,0.078215789,0.065731382,0.073050031,0.081859704
DJI,0.382079268,0.415974591,0.454277724,0.623059168,0.573154706,0.529249755,0.616385692,0.523310117,0.790439022,0.743212074,0.838156181,0.888463491,0.893774805,0.52261583,0.788997555,0.66101077,0.484684965,0.573205394,0.263159722
DMA,0.024917286,0.024272778,0.022139035,0.022810796,0.022028743,0.02119594,0.028680859,0.027065259,0.026123925,0.02198654,0.04915488,0.0412283,0.041332265,0.049193821,0.065145184,0.047467708,0.060234395,0.056095081,0.03452125
DNK,1.484424574,1.228811236,1.17614387,1.105933044,1.313085026,1.719212867,1.890995195,1.660734094,2.047005357,1.202426995,1.412003708,1.773661706,1.665928059,1.254529128,1.018098061,0.5304979,0.360868152,0.512358929,0.621250509
DOM,0.728354693,0.291180452,0.393111252,1.13281669,1.889492218,1.499916671,2.467059707,3.484575358,1.078654987,0.152523777,0.193156915,0.858695827,0.926750456,1.715950822,1.596211166,1.250351183,1.660780696,1.422266235,1.448456957
DZA,24.32804334,21.77332248,21.81167841,23.39151334,25.05578614,33.12085813,35.31314892,33.20648921,34.92153236,25.46329196,26.91391542,31.63845831,30.84640423,28.35236718,24.67676377,16.3116061,12.31067531,14.86889791,19.02332624
ECU,16.26650028,9.228274344,8.164984296,9.057918818,13.30093916,17.68262559,18.7296774,16.91229103,18.70187976,9.096246668,11.66984796,16.10954782,14.31095747,13.13890404,11.59569136,4.862550409,3.723764327,5.45215473,7.708741315
EGY,7.031156323,6.056155595,6.726694462,8.571277755,11.07414153,14.39115538,15.01256901,13.64762258,15.85069518,9.142136534,9.382624484,12.75567698,11.1775995,10.17945131,8.701722163,4.127064416,3.047976312,5.415221098,6.91132839
ERI,4.84986039,4.487808835,3.098196393,4.529917392,3.266506087,3.250351633,2.829226169,3.975321988,4.302809571,2.419401933,2.57172088,24.12941727,NA,NA,NA,NA,NA,NA,NA
ESP,0.042974735,0.056019287,0.044898256,0.03783948,0.048571982,0.039772888,0.048198302,0.055506728,0.071376686,0.040592539,0.065827392,0.077858468,0.083231182,0.079393421,0.080445892,0.069996985,0.069367634,0.095013439,0.102609049
EST,2.298398287,2.199543278,1.741745518,1.62096955,0.987380791,0.786762673,0.758483554,0.787248662,1.206491659,1.213970347,1.902034385,2.576199892,2.12810906,1.594911726,1.421311934,1.118415787,1.125461061,1.167626985,1.206477386
ETH,18.35318323,17.99123259,23.02590628,36.18730793,27.86856641,23.29508783,18.90356211,21.99446551,18.86423491,16.55117226,16.14647273,17.97526802,15.49567034,14.41081608,13.74868234,12.51920738,11.43291651,10.14910277,6.161209944
FIN,0.423351142,0.380283835,0.424746574,0.379223724,0.301235494,0.29108086,0.365543711,0.426533768,0.58961671,0.376521114,0.629387627,0.591197098,0.641056168,0.58199488,0.587370151,0.55179152,0.570095005,0.610581793,0.669109759
FJI,1.15162106,1.183705001,1.223900579,1.285139091,1.193921762,1.210098635,1.253452566,0.848105769,1.104405009,1.523220909,2.944375237,2.684482802,2.864634975,1.960751933,1.638558821,1.568653393,1.667134085,1.522056681,1.473933545
FRA,0.069931278,0.063387966,0.057381428,0.051815231,0.04096569,0.041817203,0.048665214,0.051641972,0.055656559,0.051827678,0.056534285,0.055398876,0.050302846,0.048124804,0.048966802,0.041556398,0.039720057,0.037305153,0.03837135
FRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
FSM,0.007464106,0.00857109,0.009733101,0.014273412,0.01652024,0.010136271,0.012487273,0.018908833,0.031993485,0.028911568,0.027273282,0.035425434,0.02804107,0.026521777,0.040600328,0.032192135,0.036049623,0.035001645,0.016237343
GAB,45.57840223,27.78712903,24.13376789,23.22111267,28.97525671,39.57310197,40.7468904,38.70775345,45.76914993,27.58529975,33.65836381,38.07025731,38.08294875,32.74362166,27.20190765,13.05716278,11.76484733,18.61184454,23.42102391
GBR,1.053765038,0.966191646,0.835753121,0.79078562,0.757749245,0.862175247,0.962009427,0.89333173,1.307453934,0.874183194,0.979082392,1.146636219,0.929681889,0.755839298,0.587003374,0.342047967,0.286296844,0.429277147,0.661998207
GEO,0.707664783,0.763477098,0.558967275,0.961505182,0.934790929,0.967449832,1.230749999,1.153655865,1.03161883,1.007021926,1.753759421,2.387334567,1.471914386,1.197349592,0.778095135,0.925861494,0.893979152,0.785305176,0.767436716
GHA,10.77053959,10.0861399,11.21022877,16.13730906,13.49692861,12.28478603,8.419443447,9.868513708,11.13350705,13.01441366,12.63522873,18.56048437,19.72787264,15.04376424,16.74620452,15.12564353,14.11150333,15.28072422,14.07912633
GIB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GIN,12.98630498,13.54511829,13.84622655,16.29366399,15.1656055,23.14076357,18.93036098,16.40997665,16.43459706,18.07928358,17.49016737,21.60279893,20.36251752,17.43722995,17.5648979,17.34498682,20.95523671,20.8245931,14.49197714
