ISO_alpha3_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
CPV,17.617866,18.11414392,18.36228288,18.36228288,18.61042184,18.61042184,18.85856079,18.85856079,19.35483871,19.35483871,19.35483871,19.35483871,20.84367246,20.84367246,19.60297767,19.60297767,19.60297767
CRI,36.03603604,35.89894242,35.76184881,35.82060321,35.6835096,35.35056796,35.54641598,35.25264395,35.11555033,35.56600078,35.62475519,35.62475519,35.48766157,35.18409714,34.86290591,34.8609479,34.45945946
CUB,61.02420857,61.97392924,62.54347213,62.38721805,61.34761771,62.35437805,62.29446585,62.19466366,61.69673055,61.19691662,60.70274516,59.96275532,60.17529392,60.85492041,60.36252794,59.99134594,59.86060561
CUW,,,,,,,,,,,,,,,,,
CYM,11.2500002,11.2500002,11.2500002,11.2500002,11.2500002,11.2500002,11.2500002,11.2500002,11.2500002,11.2500002,11.2500002,11.2500002,11.2500002,11.2500002,11.2500002,11.2500002,11.2500002
CYP,15.31385281,15.15151515,15.15151515,16.66666667,16.88311688,18.07359307,16.99134199,15.9307356,12.51082235,13.80952364,12.39177489,12.58658042,12.65151532,11.77813873,11.79437266,13.79978378,12.15692661
CZE,55.39019024,55.36430698,55.28665718,55.24783228,55.20320994,55.1384934,55.06796117,55.00323625,54.93851133,54.87378641,54.81615743,54.75142413,54.70672019,45.5969956,45.53224553,45.25320554,45.18259518
DEU,48.91245164,48.82201204,48.63555581,48.74000172,48.77999828,48.83300837,48.59486121,48.61330198,48.53569687,48.43808267,47.91003242,47.96591692,47.81086819,47.85886265,47.93637145,47.9592063,47.67861232
DJI,69.06816221,72.51941329,73.38222606,73.38222606,73.38222606,73.38222606,73.39517035,73.40379638,73.39085208,73.39517035,73.40810939,73.4253667,73.4253667,73.4253667,73.4253667,73.4253667,73.4253667
DMA,28,29.33333333,29.33333333,29.33333333,29.33333333,29.33333333,29.33333333,29.33333333,29.33333333,30.66666667,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333
DNK,62.38510488,63.06858355,62.80933302,62.64435541,62.36153665,63.79919868,63.86990337,62.76219656,62.88003771,62.07871789,61.89017205,63.39853877,62.4910693,62.13384139,62.61014527,62.18147178,62.01476542
DOM,52.05961499,52.05961499,52.05961499,50.40364314,50.03104947,50.03104947,50.03104947,50.03104947,49.61705651,49.61705651,49.61705651,49.61705651,48.68557235,48.68557235,48.68557235,48.68557235,48.68557235
DZA,16.80326148,16.84020926,16.73356454,16.75485117,17.27518537,17.3028962,17.29030037,17.32011051,17.34404259,17.37385273,17.37133356,17.37721162,17.38149059,17.39553462,17.39526565,17.40592946,17.36553915
