Country Code,1962,1967,1972,1977,1982,1987,1992,1997,2002,2007,2012,2017
IRQ,4586.78716,3934.105081,3320.860922,2824.573371,2438.945638,2165.211546,1912.758644,1641.823284,1411.844622,1261.140583,1103.793878,937.3471568
ISL,932129.9718,855341.6083,812864.2947,766459.7225,726930.6423,691453.2313,651198.7803,627010.1207,591257.0473,545630.7813,530063.9818,495049.505
ISR,327.0824248,273.2240437,238.2465057,207.5837254,186.0580501,171.6639963,146.3985946,128.5126799,114.1552511,104.4553697,94.81069465,86.07531016
ITA,3586.909843,3449.872875,3355.930237,3261.525503,3227.600787,3224.271624,3213.192958,3207.924181,3198.443324,3122.951365,3065.180844,3014.699725
JAM,6453.921861,6000.031054,5591.474087,5199.863131,4843.195936,4555.022312,4396.502789,4187.445867,4018.058238,3908.636171,3807.006581,3704.403653
JOR,674.8152421,494.5630695,362.0105493,312.9357642,266.0399255,217.7661409,171.4572889,140.661016,128.2554216,109.0277189,84.30199248,69.69253534
JPN,4529.510286,4305.209303,4011.643094,3776.169734,3629.304524,3522.597875,3455.897127,3411.155271,3374.004473,3359.348755,3369.140242,3391.547083
KAZ,NA,NA,NA,NA,NA,NA,3914.449062,4196.445835,4330.723817,4155.851335,3832.161452,3567.512979
KEN,2393.893282,2031.904433,1704.254957,1414.041928,1167.096275,968.098987,817.3392803,703.7068011,613.3016052,534.801718,466.8105691,412.1769742
KGZ,NA,NA,NA,NA,NA,NA,10836.24928,10418.61852,9804.235879,9287.4497,8726.280497,7894.227356
KHM,20005.19538,18037.79591,16515.76516,16759.21291,17428.24182,14710.75796,12531.30358,10673.89447,9542.861334,8815.819762,8159.424602,7533.068202
KIR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KNA,470.9483723,506.457331,541.5406832,546.149645,561.6268458,584.7810726,589.8110147,560.0018667,531.3496281,502.4178861,481.1451254,461.219156
KOR,2445.967134,2152.269642,1935.508556,1781.016289,1649.021501,1558.081856,1482.354767,1411.2067,1361.115738,1332.069719,1291.836452,1262.608784
KWT,0,0,0,0,0,0,NA,0,0,0,0,0
LAC,57957.47484,50640.87549,44656.47299,39700.40933,35482.44672,31957.38413,29113.3455,26780.83503,24888.63517,23370.95553,22087.45952,20919.45736
LAO,85722.40259,76253.73109,67022.3828,60717.4029,55980.35748,48751.38586,42307.85811,37700.67093,34660.7389,32027.18273,29544.44911,27383.74099
LBN,2493.12443,2207.168515,1985.24549,1844.923424,1841.798701,1799.129446,1560.400672,1312.040017,1147.719923,1006.849302,866.7983719,703.877028
LBR,171430.8735,153488.1722,135633.0367,118192.4824,100528.933,92880.17714,99919.46491,85976.76048,66121.66982,57771.56027,48359.85146,42533.0652
LBY,451.375567,372.5645588,300.7535595,244.2736158,201.1238225,170.3280299,150.5086332,136.7719628,126.557173,117.1590079,111.3629859,106.3712908
LCA,3264.702042,3019.019825,2822.121671,2662.288681,2479.605247,2292.386221,2116.282679,1987.80811,1882.152178,1789.506335,1698.234968,1657.870741
LCN,59791.60754,52348.94147,46271.23389,41206.13623,36885.69672,33258.10596,30305.18111,27879.41169,25919.70205,24348.07778,23015.45293,21873.81963
LDC,20596.38115,18243.0399,16189.57012,14388.93026,12693.49176,11208.77944,9827.833273,7895.935187,6974.502176,6179.410321,5245.833262,4663.360109
LIC,21975.11856,19577.478,17299.7845,15236.9751,13471.74751,12015.21022,10480.73625,7721.250229,6717.287746,5817.364578,4701.875934,4137.928967
LIE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LKA,5100.374993,4529.214722,4060.840622,3699.16408,3406.185711,3172.322734,2976.857135,2858.550941,2769.839553,2661.016174,2585.067319,2462.227196
LMC,9204.567798,8178.249845,7254.676843,6424.628747,5668.695184,5006.783608,4377.437631,3963.477729,3627.071965,3341.054178,3091.339081,2876.12236
LMY,13074.60985,11572.92257,10213.37293,9141.800274,8236.996523,7420.626321,7363.206056,6722.046998,6248.986419,5837.013746,5433.304095,5099.402064
LSO,6017.497917,5435.014169,4855.621845,4257.130694,3695.167738,3276.131534,2934.436936,2657.447407,2576.567913,2632.206735,2595.548956,2500.559399
LTE,14444.41895,12763.38542,11245.69085,10233.19087,9480.714201,8764.019294,9715.321151,9198.664803,8848.13917,8543.509796,8284.358943,8034.532957
LTU,NA,NA,NA,NA,NA,NA,4178.249643,4324.30981,4490.182735,4784.460962,5174.422555,5465.98204
LUX,3117.692907,2985.119181,2885.170225,2767.338761,2735.790986,2697.235334,2549.882068,2384.074383,2241.273043,2083.363716,1883.430707,1676.906979
LVA,NA,NA,NA,NA,NA,NA,6479.651828,6963.024041,7332.784168,7698.862668,8327.11094,8721.852204
MAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
