Country Code,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
ERI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ESP,0.789489985,0.779640019,0.851019979,0.840520024,0.884949982,0.890190005,0.960049987,1.022189975,1.038490057,1.095770001,1.172180057,1.234480023,1.317080021,1.351369977,1.349650025,1.325129986,1.28410995,1.261729956,1.231389999
EST,NA,NA,0.570739985,0.680630028,0.600090027,0.69946003,0.716489971,0.767769992,0.851930022,0.923640013,1.116659999,1.068840027,1.259520054,1.395409942,1.58141005,2.306550026,2.114259958,1.714679956,1.436360002
ETH,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.179169998,NA,0.170890003,NA,NA,0.241370007,NA,NA,0.604740024,NA
EUU,1.695770493,1.728973197,1.698197693,1.780979085,1.746432089,1.818035366,1.784065484,1.822180861,1.791086271,1.778273118,1.799764089,1.794760244,1.871887327,1.967592976,1.968988122,2.018614996,2.082896088,2.092245852,2.100414877
FCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIN,2.45310998,2.623209953,2.786550045,3.056030035,3.245690107,3.197949886,3.257400036,3.302139997,3.314939976,3.329760075,3.33762002,3.345769882,3.54708004,3.74883008,3.725980043,3.638809919,3.419480085,3.296829939,3.1738801
FJI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FRA,2.210999966,2.135489941,2.084140062,2.096950054,2.084000111,2.1291399,2.165719986,2.111170053,2.086359978,2.044470072,2.045269966,2.020030022,2.057590008,2.209100008,2.175090075,2.190639973,2.229069948,2.24326992,2.255990028
FRO,NA,NA,NA,NA,NA,NA,NA,0.861169994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FSM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GAB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41633001,0.510900021,0.575079978,NA,NA,NA,NA,NA
GBR,1.711730003,1.658949971,1.665169954,1.749590039,1.724259973,1.713739991,1.715129972,1.67197001,1.613250017,1.629649997,1.649559975,1.684120059,1.687369943,1.740800023,1.694710016,1.690649986,1.621780038,1.664319992,1.700690031
GEO,0.330879986,0.342400014,0.353839993,0.287690014,0.215299994,0.238480002,0.185739994,0.217600003,0.244200006,0.176579997,NA,NA,NA,NA,NA,NA,NA,0.083669998,0.09843
GHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.231570005,NA,NA,0.376549989,NA,NA,NA,NA
GIB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02039,0.017480001,NA,0.132210001,NA,NA,NA
