Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
DOM,5941.065938,5917.782034,6453.482482,6690.139357,6784.885218,7048.243521,7397.389439,7919.734845,8299.853678,8632.926096,8917.383134,8998.862406,9273.289374,8803.884372,8739.67852,9742.487438,10546.32662,11175.89734,11557.87602,11518.0918,12327.3468,12529.5448,12707.22497,13067.09635,13814.06229,14694.1036,15462.20861,15941.67145,16958.43305,17572.69314,16164.89952
DZA,8512.050254,8094.451179,8122.895858,7836.71649,7575.959919,7662.253792,7826.216484,7829.823842,8142.199734,8252.063062,8391.639382,8645.5936,8959.012615,9469.532377,9719.063346,10049.58789,10128.38944,10552.62877,10700.11119,10672.10456,10921.46238,10941.3485,11000.60341,11057.66165,11247.57672,11413.75977,11706.22217,11558.63139,11354.16521,11229.7953,10451.98507
EAP,NA,NA,NA,NA,NA,2549.559788,2762.281776,2974.579115,3123.387654,3311.763959,3547.304319,3768.629337,4061.985855,4417.168164,4814.754436,5245.435656,5839.482516,6580.544351,7142.435625,7615.997661,8332.026304,8949.634811,9590.130508,10172.85482,10877.10451,11477.81727,12139.66592,12876.61902,13579.12418,14317.12276,NA
EAR,4428.387743,4490.131261,4592.355622,4673.982088,4735.53096,4766.794178,4962.640444,5115.94072,5246.068689,5320.119878,5434.560675,5409.27625,5425.415843,5645.674682,5897.348077,6151.458078,6463.338012,6748.344865,6865.383048,6845.959265,7171.104468,7463.595193,7645.386903,7888.4861,8159.285711,8465.713138,8765.471247,9086.231287,9321.449372,9433.137433,8866.187786
EAS,NA,NA,NA,NA,NA,5906.290917,6210.060418,6442.572638,6477.32523,6684.122409,7022.533094,7251.507115,7561.204098,7946.743129,8413.707925,8885.457233,9527.677561,10318.85269,10808.07695,11076.89706,11921.20849,12558.33384,13239.18299,13897.66555,14627.77846,15277.67577,15954.05525,16769.23186,17497.19588,18406.05931,NA
ECA,15294.54472,14483.42906,12808.44467,11947.88408,10613.90283,10363.29358,10227.37698,10357.58584,10036.62058,10236.00001,11100.47665,11544.70088,12178.18155,12914.71553,14060.87375,14951.99711,16015.39164,17209.76169,17845.07041,16585.6264,17261.29814,18100.75373,18663.75207,19196.84904,19444.52238,19463.08815,19612.37851,20296.20597,20802.04675,21094.56531,20739.69625
ECS,23403.43442,23319.02844,22674.13286,22194.75276,21945.41165,22235.54884,22521.82039,23131.02977,23530.64961,24187.06952,25316.71948,25885.63729,26323.68859,26867.25004,27871.22575,28695.68405,29832.9275,30837.72436,31034.31899,29582.8661,30345.48958,31068.02891,31137.10973,31324.0508,31701.99416,32088.22081,32538.62705,33417.47583,34085.66761,34526.40771,NA
ECU,7642.564903,7900.164505,7992.615386,8054.392064,8244.364869,8277.374797,8216.915738,8426.615213,8489.525951,7743.159163,7662.705097,7967.0261,8191.204249,8250.349701,8747.664231,9107.979023,9385.688449,9427.380907,10014.62762,9945.389031,10186.81334,10807.50386,11263.41075,11647.39487,11892.24963,11692.88402,11345.74006,11359.68975,11256.12254,11049.60302,10028.216
EGY,5930.181584,6057.706852,6186.818204,6234.452425,6348.930058,6520.383927,6716.140759,6943.988418,7210.002975,7464.909404,7781.349908,7956.988192,7914.592709,7996.626524,8162.00652,8372.627871,8859.168738,9360.118933,9845.396806,10039.03033,10135.98601,10031.42871,10055.57658,10016.17801,10099.75288,10382.27283,10646.46932,10801.02662,11079.03334,11335.87708,11579.00966
EMU,32949.20847,33618.52708,33898.97909,33563.89232,34130.04622,34925.3502,35485.53628,36354.29978,37280.03709,38351.75073,39681.60711,40287.17738,40334.80597,40412.50716,41293.82215,41806.47737,43095.2276,44034.82655,43824.35721,41971.55017,42766.0275,43600.0228,43165.08715,42926.67521,43310.40772,43911.66788,44713.18678,45797.8752,46617.70882,47115.86364,NA
ERI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ESP,27273.57265,27883.06361,27946.72361,27666.57624,27715.69493,28874.70925,29426.34724,30397.42953,31576.81875,32875.11546,34514.67021,35386.6184,35929.33668,36450.12361,36904.03983,37440.59625,38141.58931,38550.3614,38153.64902,36703.53567,36771.1919,36233.8765,35484.05836,35135.15809,35836.96831,37368.67997,38572.72264,39543.65687,40385.786,40866.52699,NA
EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17210.76944,18216.49872,19584.70576,21031.24504,22663.07499,25180.88208,27439.19524,29132.82179,28139.90709,24642.86997,24785.41937,26772.60078,27970.80458,28934.31985,29739.71418,30464.1041,31409.19938,33040.70655,34521.36786,35999.57689,NA
ETH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1358.033249,1434.245449,1541.762481,1652.126111,1771.947958,1888.608252,2009.557746,2093.520321,2204.805408,2279.637186
EUU,28607.05604,29035.92457,29223.6668,28961.70617,29530.20679,30269.97647,30863.57233,31611.01863,32458.21243,33412.94899,34653.07878,35289.34931,35520.64277,35734.80553,36642.88911,37327.85045,38647.5229,39626.89008,39786.27673,38193.26437,38944.4015,39747.96277,39473.56045,39419.92753,39912.81761,40624.20123,41457.45382,42639.44485,43576.72924,44272.19819,NA
FCS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIN,32062.58871,29766.09843,28319.73093,27826.45668,29135.50046,30505.82669,31765.21818,33955.54121,35538.9226,37389.97343,39632.35595,40826.60127,41570.76524,41911.21088,44041.31169,44976.90591,46836.6035,48806.83031,48899.26008,45214.65959,46462.53829,47002.1184,46162.7632,45511.67944,45421.8768,45515.94348,46417.01893,47593.88701,48323.54479,48919.50976,47780.27848
